Clave.de.entidad.federativa,Nombre.de.la.entidad,Clave.de.municipio.o.delegación,Nombre.del.municipio.o.delegación,Clave.de.localidad,Nombre.de.la.localidad,Abasto.de.frijol,Abasto.de.maíz,Abasto.de.harina.o.tortillas.de.maíz,Abasto.de.harina.o.pan.de.trigo,Abasto.de.arroz,Abasto.de.leche,Abasto.de.huevos,Abasto.de.carne.de.res.o.de.puerco,Abasto.de.pollo,Abasto.de.pescado.fresco,Abasto.de.frutas.y.verduras,Disponibilidad.de.tianguis.o.mercado.sobre.ruedas,Disponibilidad.de.tienda.de.abarrotes,Disponibilidad.de.tienda.Diconsa,Disponibilidad.de.lechería.Liconsa,Disponibilidad.de.farmacia,Disponibilidad.de.papelería,Disponibilidad.de.ferretería.o.tlapalería,Disponibilidad.de.tienda.de.ropa.o.calzado,Disponibilidad.de.tienda.de.loza.o.utensilios.caseros,Disponibilidad.de.tienda.de.muebles.o.aparatos.electrodomésticos,Disponibilidad.de.tienda.de.materiales.de.construcción,Venta.de.gas,Disponibilidad.de.clínica.o.centro.de.salud,Disponibilidad.de.consultorio.o.médico.particular,Disponibilidad.de.partera.o.comadrona,Disponibilidad.de.brigada.móvil.o.caravana.de.salud,Disponibilidad.de.promotor(a).de.salud,Disponibilidad.de.curandera(o),Disponibilidad.de.teléfono.público,Disponibilidad.de.Internet.público,Disponibilidad.de.señal.de.teléfono.celular,Disponibilidad.de.servicio.de.envío.y.recepción.de.dinero,Disponibilidad.de.servicio.de.televisión.de.paga
24,San Luis Potosí,001,Ahualulco,0002,Potrero Agua Bendita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,San Luis Potosí,001,Ahualulco,0003,El Aguaje,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,San Luis Potosí,001,Ahualulco,0005,Arenal de Morelos,No dispone,No dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0006,Barrancas,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0007,Cañada Grande (El Bosque),No dispone,No dispone,Dispone,Dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0008,Cañada Grande,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0009,Casita Blanca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,San Luis Potosí,001,Ahualulco,0010,El Zapote (Cerrito Blanco),Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0011,Cerrito de Rojas,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,Dispone,No dispone,Dispone,No dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0012,Los Cerritos,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0013,Cerro Blanco,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0014,Cochinillas,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0015,Colonia de la Cruz,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0016,Coyotillos,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0017,Ejido del Centro,No dispone,No dispone,No dispone,Dispone,Dispone,Dispone,Dispone,No dispone,Dispone,No dispone,Dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone
24,San Luis Potosí,001,Ahualulco,0018,La Encarnación,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,Dispone,Dispone,Dispone,Dispone,Dispone,No dispone,No dispone,No dispone,No dispone,No dispone,Dispone,Dispone,No dispone,No dispone,No dispone,Dispone,No dispone,No dispone,Dispone,Dispone,No dispone,Dispone
